,Name,Campaign Twitter,Personal Twitter,Official Twitter
112,Michael Delaney,https://www.twitter.com/mchdlny,NaN,NaN
113,Ray Woods,NaN,NaN,NaN
114,Kenneth Blevins,https://www.twitter.com/LibertyCowboyKB,NaN,NaN
115,Robert Murphy,NaN,NaN,NaN
116,Ron Wyden,https://www.twitter.com/WydenForOregon,NaN,https://www.twitter.com/RonWyden
117,Jo Rae Perkins,NaN,NaN,NaN
118,Chris Henry,NaN,NaN,NaN
119,Jo Rae Perkins,NaN,NaN,NaN
120,Dan Pulju,NaN,NaN,NaN
121,Ron Wyden,https://www.twitter.com/WydenForOregon,NaN,https://www.twitter.com/RonWyden
122,John Fetterman,https://www.twitter.com/JohnFetterman,NaN,https://www.twitter.com/FettermanLt
123,Mehmet Oz,https://www.twitter.com/DrOz,NaN,NaN
124,Quincy Magee,NaN,https://www.twitter.com/QuincyMagee,NaN
125,Erik Chase Gerhardt,https://www.twitter.com/Erik4Senate,https://www.twitter.com/ErikG07669794,NaN
126,Ronald Johnson,https://www.twitter.com/JohnsonUSSenate,NaN,NaN
127,Krystle Matthews,https://www.twitter.com/Kmforsenate,NaN,NaN
128,Tim Scott,https://www.twitter.com/votetimscott,NaN,https://www.twitter.com/SenatorTimScott
129,Jesse Harper,NaN,NaN,NaN
130,Brian Bengs,https://www.twitter.com/BrianBengs,NaN,NaN
131,John Thune,https://www.twitter.com/johnthune,NaN,https://www.twitter.com/senjohnthune
132,Tamara Lesnar,https://www.twitter.com/Lesnar4USSENATE,NaN,NaN
133,Mike Lee,https://www.twitter.com/MikeLeeforUtah,NaN,https://www.twitter.com/SenMikeLee
134,Laird Fetzer Hamblin,NaN,NaN,NaN
135,Evan McMullin,https://www.twitter.com/evanmcmullin,NaN,NaN
136,Michael Seguin,NaN,NaN,NaN
137,James Arthur Hansen,https://www.twitter.com/JamesArtHansen,NaN,NaN
138,Tommy Williams,NaN,NaN,NaN
139,Peter Welch,https://www.twitter.com/WelchForVT,NaN,https://www.twitter.com/PeterWelch
140,Gerald Malloy,https://www.twitter.com/GeraldMalloyVT,NaN,NaN
141,Mark Coester,NaN,NaN,NaN
142,Cris Ericson,https://www.twitter.com/vermont2022,NaN,NaN
143,Kerry Patrick Raheb,https://www.twitter.com/RAHEBFORSENATE,NaN,NaN
144,Patty Murray,https://www.twitter.com/MurrayCampaign,NaN,https://www.twitter.com/PattyMurray
145,Tiffany Smiley,https://www.twitter.com/SmileyForWA,NaN,NaN
146,Mandela Barnes,https://www.twitter.com/TheOtherMandela,NaN,https://www.twitter.com/LGMandelaBarnes
147,Ronald Harold Johnson,https://www.twitter.com/RonJohnsonWI,NaN,https://www.twitter.com/SenRonJohnson
148,Scott Aubart,NaN,NaN,NaN
149,Adam Nicholas Paul,https://www.twitter.com/LogicParty_USA,NaN,NaN
