,Name,Campaign Twitter,Personal Twitter,Official Twitter
97,Michelle Louise Bicking,https://www.twitter.com/Mlbctgreen,NaN,NaN
98,Robert Hotaling,https://www.twitter.com/RobForGovernor,NaN,https://www.twitter.com/GovNedLamont
99,Ned Lamont,NaN,NaN,NaN
100,Ned Lamont,NaN,NaN,NaN
101,Charlie Crist,https://www.twitter.com/CharlieCrist,NaN,NaN
102,Cadance Daniel,https://www.twitter.com/cadanceDaniel,NaN,NaN
103,Nikki Fried,https://www.twitter.com/NikkiFried,NaN,https://www.twitter.com/GovNedLamont
104,Robert Willis,NaN,NaN,NaN
105,Ron DeSantis,NaN,NaN,https://www.twitter.com/GovNedLamont
106,Carmen Gimenez,https://www.twitter.com/CarmenJackieFl,NaN,NaN
107,Hector Roos,https://www.twitter.com/roosforflorida,NaN,NaN
108,Stacey Abrams,https://www.twitter.com/staceyabrams,NaN,NaN
109,Catherine Davis,https://www.twitter.com/CathCapitol,NaN,https://www.twitter.com/NikkiFriedFL
110,Brian Kemp,https://www.twitter.com/BrianKempGA,NaN,NaN
111,David Perdue,https://www.twitter.com/DavidPerdueGA,NaN,NaN
112,Kandiss Taylor,https://www.twitter.com/KandissTaylor,NaN,https://www.twitter.com/GovRonDeSantis
113,Tom Williams,NaN,NaN,NaN
114,David Byrne,NaN,NaN,NaN
115,Milton Lofton,NaN,NaN,NaN
116,Shane Hazel,NaN,NaN,NaN
117,David Bourgoin,NaN,NaN,NaN
118,Vicky Cayetano,https://www.twitter.com/VickyForGov,NaN,https://www.twitter.com/GovKemp
119,Joshua Green,https://www.twitter.com/DrJoshGreen,NaN,NaN
120,Kaiali'i Kahele,https://www.twitter.com/kaikahele,NaN,NaN
121,Richard Kim,NaN,NaN,NaN
122,Clyde Lewman,NaN,NaN,NaN
123,Van Tanabe,NaN,NaN,NaN
124,Duke Aiona,https://www.twitter.com/DukeAiona2022,NaN,NaN
125,Gary Cordery,https://www.twitter.com/garyforgovernor,NaN,NaN
126,George Hawat,NaN,NaN,NaN
127,Keline-Kameyo Kahau,NaN,NaN,NaN
128,Lynn Barry Mariano,https://www.twitter.com/VoteLynnMariano,NaN,https://www.twitter.com/GovJoshGreenMD
129,Paul Morgan,https://www.twitter.com/pmforgovernor,NaN,NaN
130,Moses Paskowitz,NaN,NaN,https://www.twitter.com/RepKahele
131,BJ Penn,NaN,NaN,NaN
132,Heidi Tsuneyoshi,NaN,NaN,NaN
133,Walter Woods,NaN,NaN,NaN
134,Caleb Nazara,NaN,NaN,NaN
135,Keleionalani Taylor,NaN,NaN,NaN
136,Stephen Heidt,https://www.twitter.com/heidtforgov,NaN,NaN
137,David Reilly,NaN,NaN,NaN
138,Shelby Rognstad,https://www.twitter.com/electshelby,NaN,NaN
139,Steven Bradshaw,NaN,NaN,NaN
140,Ben Cannady,NaN,NaN,NaN
141,Ed Humphreys,https://www.twitter.com/EdForIdaho,NaN,NaN
142,Ashley Jackson,https://www.twitter.com/AshleyForIdaho,https://www.twitter.com/beashleyjackson,NaN
143,Brad Little,NaN,NaN,NaN
144,Lisa Marie,NaN,https://www.twitter.com/lisareddrox,NaN
145,Janice McGeachin,https://www.twitter.com/JaniceMcGeachin,NaN,NaN
146,Cody Usabel,NaN,NaN,NaN
147,Ammon Bundy,https://www.twitter.com/RealABundy,NaN,NaN
148,Lisa Marie,NaN,https://www.twitter.com/lisareddrox,NaN
149,Ryan Cole,NaN,NaN,NaN
150,Chantyrose Davison,https://www.twitter.com/Chantyrose,NaN,NaN
151,John Dionne Jr.,NaN,NaN,NaN
152,Paul Sand,https://www.twitter.com/Ampersand48,NaN,NaN
153,Beverly Miles,NaN,NaN,NaN
154,J.B. Pritzker,NaN,https://www.twitter.com/JBPritzker,https://www.twitter.com/GovernorLittle
155,Darren Bailey,https://www.twitter.com/DarrenBaileyIL,NaN,NaN
156,Richard Irvin,https://www.twitter.com/RichardIrvin4IL,NaN,NaN
157,Gary Rabine,https://www.twitter.com/GaryRabine,NaN,NaN
158,Paul Schimpf,https://www.twitter.com/PaulSchimpf,NaN,NaN
159,Max Solomon,https://www.twitter.com/MmaxSolomon,NaN,NaN
160,Jesse Sullivan,https://www.twitter.com/JesseSullivanIL,NaN,NaN
161,Shon-Tiyon Horton,NaN,NaN,NaN
162,Emily Johnson,NaN,NaN,NaN
163,Elizabeth Sebesta,NaN,NaN,NaN
164,Scott Mitchell Schluter,https://www.twitter.com/scottforliberty,NaN,NaN
165,Deidre DeJear,https://www.twitter.com/DeidreDeJear,NaN,NaN
166,Kim Reynolds,NaN,https://www.twitter.com/KimReynoldsIA,https://www.twitter.com/GovPritzker
167,Rick Stewart,https://www.twitter.com/rickstewart,NaN,NaN
168,Richard Karnowski,https://www.twitter.com/Karnow4Governor,NaN,NaN
169,Laura Kelly,https://www.twitter.com/LauraKellyKS,NaN,NaN
170,Arlyn Briggs,NaN,NaN,NaN
171,Derek Schmidt,https://www.twitter.com/DerekSchmidtKS,NaN,NaN
172,Dennis Pyle,NaN,https://www.twitter.com/DennisPyle,NaN
173,Seth Cordell,NaN,https://www.twitter.com/mysethcordell,NaN
174,Janet T. Mills,https://www.twitter.com/JanetMillsforME,NaN,NaN
175,Paul LePage,https://www.twitter.com/paullepage2022,NaN,NaN
176,Sam Hunkler,NaN,NaN,NaN
177,Rushern Baker III,https://www.twitter.com/countyexecbaker,https://www.twitter.com/RushernBaker,NaN
